Time period;Average power, day;Average power, night;Average power;Temperature
13.1. 16:00:00;2,720;;2,720;
13.1. 17:00:00;2,090;;2,090;
13.1. 18:00:00;1,930;;1,930;
13.1. 19:00:00;2,460;;2,460;
13.1. 20:00:00;3,070;;3,070;
13.1. 21:00:00;2,870;;2,870;
13.1. 22:00:00;;2,700;2,700;
13.1. 23:00:00;;3,190;3,190;
14.1. 00:00:00;;2,290;2,290;-0,8
14.1. 01:00:00;;2,130;2,130;
14.1. 02:00:00;;2,940;2,940;
14.1. 03:00:00;;1,810;1,810;
14.1. 04:00:00;;1,600;1,600;
14.1. 05:00:00;;1,870;1,870;
14.1. 06:00:00;;3,230;3,230;
14.1. 07:00:00;2,700;;2,700;
14.1. 08:00:00;2,070;;2,070;
14.1. 09:00:00;1,460;;1,460;
14.1. 10:00:00;1,500;;1,500;
14.1. 11:00:00;1,950;;1,950;
14.1. 12:00:00;1,610;;1,610;
14.1. 13:00:00;2,110;;2,110;
14.1. 14:00:00;1,540;;1,540;
14.1. 15:00:00;1,740;;1,740;
14.1. 16:00:00;2,840;;2,840;
14.1. 17:00:00;2,680;;2,680;
14.1. 18:00:00;2,790;;2,790;
14.1. 19:00:00;1,790;;1,790;
14.1. 20:00:00;2,150;;2,150;
14.1. 21:00:00;2,120;;2,120;
14.1. 22:00:00;;2,610;2,610;
14.1. 23:00:00;;4,770;4,770;
15.1. 00:00:00;;3,450;3,450;-5,3
15.1. 01:00:00;;3,070;3,070;
15.1. 02:00:00;;2,960;2,960;
15.1. 03:00:00;;1,940;1,940;
15.1. 04:00:00;;2,100;2,100;
15.1. 05:00:00;;1,620;1,620;
15.1. 06:00:00;;2,650;2,650;
15.1. 07:00:00;1,550;;1,550;
15.1. 08:00:00;2,020;;2,020;
15.1. 09:00:00;2,800;;2,800;
15.1. 10:00:00;2,940;;2,940;
15.1. 11:00:00;3,750;;3,750;
15.1. 12:00:00;3,070;;3,070;
15.1. 13:00:00;3,450;;3,450;
15.1. 14:00:00;3,010;;3,010;
15.1. 15:00:00;5,360;;5,360;
15.1. 16:00:00;4,090;;4,090;
15.1. 17:00:00;3,020;;3,020;
15.1. 18:00:00;1,870;;1,870;
15.1. 19:00:00;2,340;;2,340;
15.1. 20:00:00;2,590;;2,590;
15.1. 21:00:00;2,490;;2,490;
15.1. 22:00:00;;4,500;4,500;
15.1. 23:00:00;;6,490;6,490;
16.1. 00:00:00;;5,060;5,060;-5,9
16.1. 01:00:00;;3,880;3,880;
16.1. 02:00:00;;2,610;2,610;
16.1. 03:00:00;;2,410;2,410;
16.1. 04:00:00;;2,030;2,030;
16.1. 05:00:00;;2,930;2,930;
16.1. 06:00:00;;3,120;3,120;
16.1. 07:00:00;2,560;;2,560;
16.1. 08:00:00;2,610;;2,610;
16.1. 09:00:00;2,800;;2,800;
16.1. 10:00:00;1,850;;1,850;
16.1. 11:00:00;1,580;;1,580;
16.1. 12:00:00;1,460;;1,460;
16.1. 13:00:00;2,200;;2,200;
16.1. 14:00:00;1,860;;1,860;
16.1. 15:00:00;2,190;;2,190;
16.1. 16:00:00;2,580;;2,580;
16.1. 17:00:00;2,880;;2,880;
16.1. 18:00:00;3,770;;3,770;
16.1. 19:00:00;2,600;;2,600;
16.1. 20:00:00;2,640;;2,640;
16.1. 21:00:00;2,870;;2,870;
16.1. 22:00:00;;3,480;3,480;
16.1. 23:00:00;;5,260;5,260;
17.1. 00:00:00;;4,980;4,980;-3,6
17.1. 01:00:00;;3,870;3,870;
17.1. 02:00:00;;3,860;3,860;
17.1. 03:00:00;;2,890;2,890;
17.1. 04:00:00;;2,020;2,020;
17.1. 05:00:00;;2,860;2,860;
17.1. 06:00:00;;3,330;3,330;
17.1. 07:00:00;3,440;;3,440;
17.1. 08:00:00;2,020;;2,020;
17.1. 09:00:00;2,360;;2,360;
17.1. 10:00:00;2,670;;2,670;
17.1. 11:00:00;2,870;;2,870;
17.1. 12:00:00;2,050;;2,050;
17.1. 13:00:00;1,790;;1,790;
17.1. 14:00:00;1,820;;1,820;
