Time period;Average power, day;Average power, night;Average power;Temperature
14.1. 20:00:00;3,650;;3,650;
14.1. 21:00:00;3,000;;3,000;
14.1. 22:00:00;;5,340;5,340;
14.1. 23:00:00;;5,530;5,530;
15.1. 00:00:00;;4,710;4,710;-11,8
15.1. 01:00:00;;5,460;5,460;
15.1. 02:00:00;;4,990;4,990;
15.1. 03:00:00;;3,620;3,620;
15.1. 04:00:00;;3,920;3,920;
15.1. 05:00:00;;4,160;4,160;
15.1. 06:00:00;;3,010;3,010;
15.1. 07:00:00;3,080;;3,080;
15.1. 08:00:00;2,750;;2,750;
15.1. 09:00:00;3,430;;3,430;
15.1. 10:00:00;3,300;;3,300;
15.1. 11:00:00;3,100;;3,100;
15.1. 12:00:00;3,110;;3,110;
15.1. 13:00:00;3,350;;3,350;
15.1. 14:00:00;2,300;;2,300;
15.1. 15:00:00;2,000;;2,000;
15.1. 16:00:00;2,780;;2,780;
15.1. 17:00:00;2,850;;2,850;
15.1. 18:00:00;3,010;;3,010;
15.1. 19:00:00;3,030;;3,030;
15.1. 20:00:00;3,630;;3,630;
15.1. 21:00:00;3,580;;3,580;
15.1. 22:00:00;;6,410;6,410;
15.1. 23:00:00;;5,780;5,780;
16.1. 00:00:00;;4,040;4,040;-17,4
16.1. 01:00:00;;5,200;5,200;
16.1. 02:00:00;;4,660;4,660;
16.1. 03:00:00;;3,500;3,500;
16.1. 04:00:00;;4,220;4,220;
16.1. 05:00:00;;3,350;3,350;
16.1. 06:00:00;;4,540;4,540;
16.1. 07:00:00;3,880;;3,880;
16.1. 08:00:00;2,530;;2,530;
16.1. 09:00:00;2,920;;2,920;
16.1. 10:00:00;3,710;;3,710;
16.1. 11:00:00;5,630;;5,630;
16.1. 12:00:00;5,750;;5,750;
16.1. 13:00:00;5,480;;5,480;
16.1. 14:00:00;5,240;;5,240;
16.1. 15:00:00;5,230;;5,230;
16.1. 16:00:00;3,240;;3,240;
16.1. 17:00:00;3,780;;3,780;
16.1. 18:00:00;4,270;;4,270;
16.1. 19:00:00;4,080;;4,080;
16.1. 20:00:00;3,130;;3,130;
16.1. 21:00:00;3,070;;3,070;
16.1. 22:00:00;;6,260;6,260;
16.1. 23:00:00;;6,520;6,520;
17.1. 00:00:00;;5,550;5,550;-14,6
17.1. 01:00:00;;5,170;5,170;
17.1. 02:00:00;;5,200;5,200;
17.1. 03:00:00;;3,660;3,660;
17.1. 04:00:00;;2,900;2,900;
17.1. 05:00:00;;2,520;2,520;
17.1. 06:00:00;;3,500;3,500;
17.1. 07:00:00;3,720;;3,720;
17.1. 08:00:00;3,220;;3,220;
17.1. 09:00:00;3,360;;3,360;
17.1. 10:00:00;2,980;;2,980;
17.1. 11:00:00;2,940;;2,940;
17.1. 12:00:00;3,790;;3,790;
17.1. 13:00:00;4,930;;4,930;
17.1. 14:00:00;3,850;;3,850;
17.1. 15:00:00;4,360;;4,360;
17.1. 16:00:00;3,620;;3,620;
17.1. 17:00:00;3,080;;3,080;
17.1. 18:00:00;2,690;;2,690;
17.1. 19:00:00;2,920;;2,920;
17.1. 20:00:00;4,150;;4,150;
17.1. 21:00:00;5,150;;5,150;
17.1. 22:00:00;;5,820;5,820;
17.1. 23:00:00;;5,700;5,700;
18.1. 00:00:00;;6,380;6,380;-19,8
18.1. 01:00:00;;5,800;5,800;
18.1. 02:00:00;;5,130;5,130;
18.1. 03:00:00;;5,520;5,520;
18.1. 04:00:00;;3,550;3,550;
18.1. 05:00:00;;4,800;4,800;
18.1. 06:00:00;;4,060;4,060;
18.1. 07:00:00;4,240;;4,240;
18.1. 08:00:00;4,040;;4,040;
18.1. 09:00:00;3,790;;3,790;
18.1. 10:00:00;3,640;;3,640;
18.1. 11:00:00;3,130;;3,130;
18.1. 12:00:00;3,550;;3,550;
18.1. 13:00:00;3,510;;3,510;
18.1. 14:00:00;4,080;;4,080;
18.1. 15:00:00;3,620;;3,620;
18.1. 16:00:00;3,320;;3,320;
18.1. 17:00:00;3,920;;3,920;
18.1. 18:00:00;4,140;;4,140;
18.1. 19:00:00;3,610;;3,610;
18.1. 20:00:00;2,880;;2,880;
18.1. 21:00:00;3,100;;3,100;
18.1. 22:00:00;;7,100;7,100;
18.1. 23:00:00;;6,590;6,590;
19.1. 00:00:00;;5,910;5,910;-18,8
19.1. 01:00:00;;6,590;6,590;
19.1. 02:00:00;;6,940;6,940;
19.1. 03:00:00;;5,400;5,400;
19.1. 04:00:00;;2,650;2,650;
19.1. 05:00:00;;3,410;3,410;
19.1. 06:00:00;;3,770;3,770;
